Competition Title,Competition Date,Category,Rank,FIRST,LAST,Nation,Qualification lead,Qualification speed,Qualification boulder,Points,Final Points,Final lead,Final boulder,Final speed
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,28,GUIGNARD,Louis,SUI,26.,29.,21.,16211.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,29,ESPARTA FRADE,Joanes,ESP,24.,35.,24.,20160.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,30,LEDESMA,jose tomas,CHI,33.,24.,26.,20592.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,31,NIGHTINGALE,Jordan,RSA,32.,19.,33.,20672.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,32,KALLIKAS,Dimitrios,GRE,35.,21.,32.,23520.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,33,ROWOLD,Daniel Massimo,DEN,29.,25.,33.,24650.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,34,URRUTIA,Joaquin,CHI,25.,34.,31.,26350.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,35,LAVRENTAKIS-RIGAKIS,Filippos,GRE,30.,32.,30.,28800.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,36,KHASANOV,Jakhongir,UZB,36.,36.,33.,44064.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,1,AMAGASA,Sohta,JPN,2.,7.,1.,14.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,2,TANAKA,Shuta,JPN,1.,9.,2.,18.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,3,UZNIK,Nicolai,AUT,6.,4.,4.,96.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,4,CLÉMENCE,Julien,SUI,3.,13.,5.,195.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,5,ZAJC,Ziga,SLO,7.,6.,6.,252.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,6,LINACISORO MOLINA,Mikel Asier,ESP,4.,8.,9.,288.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,7,WONG,Cheuk-nam,HKG,24.,1.,23.,552.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,8,FRANCKAERT,Lukas,BEL,15.,14.,3.,630.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,9,KURIC,Peter,SVK,9.,10.,7.,675.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,10,CHAN CHONG KIAT,Mark,SGP,18.,3.,16.,891.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,11,RIVADENEIRA,Nickolaie,ECU,17.,2.,27.,918.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,12,GRÜNENFELDER,Nino,SUI,5.,16.,18.,1440.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,13,GEISENHOFF,Philipp,SUI,12.,11.,12.,1787.50,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,14,COSSER,Christopher,RSA,12.,5.,30.,1982.50,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,15,LAVENDER,Sam,AUS,23.,12.,7.,2070.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,16,CARRETERO CRUZ,Eneko,ESP,12.,19.,10.,2593.50,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,17,GUNDOLF,Louis,AUT,10.,25.,14.,3500.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,18,NOVAK,Klemen,SLO,8.,26.,19.,4056.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,19,LIFMAN,Amiad,ISR,16.,18.,16.,4752.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,20,ALBER,Ymer,SWE,11.,32.,15.,5445.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,21,SINGH,Suraj,IND,22.,24.,10.,5544.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,22,RAZ ROMEO,Carmel,ISR,21.,22.,12.,5775.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,23,RIOS,Emilio,CHI,19.,15.,21.,5985.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,24,PETROV,Stoyan,BUL,26.,21.,19.,10647.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,25,WALDIN,Thomas,NZL,32.,20.,22.,14080.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,26,ILSAAS SUTHURST,Albert,NOR,20.,29.,24.,14210.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,27,SQUELLA,Joaquin,CHI,29.,17.,30.,15036.50,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,28,THEOCHAROPOULOS,Theofanis Ermis,GRE,33.,23.,24.,18595.50,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,29,VIBERG CHRISTIANSEN,Frederik,DEN,28.,27.,28.,21168.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,30,AVELLAR,Pedro,BRA,30.,28.,29.,24360.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,31,SHEPPARD,David,NZL,34.,31.,26.,27404.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,32,EGG,Pedro,BRA,25.,32.,33.,27637.50,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,33,LAVDAS,Alexandros,GRE,31.,30.,32.,29760.00,,,,
IFSC Youth World Championships -  Arco (ITA) 2019 ,22  - 31 August 2019,combined,34,SINGH,Thokchom Boynao,IND,27.,32.,33.,29848.50,,,,
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,combined,1,GARNBRET,Janja,SLO,35+8.,9.1657.,4T4z552.,112.00,12.00,Top1.,1T2z122.,13.3996.
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,combined,2,NOGUCHI,Akiyo,JPN,36+2.,9.39110.,4T4z1284.,80.00,21.00,40+3.,2T2z331.,10.0827.
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,combined,3,COXSEY,Shauna,GBR,36+3.,10.42214.,4T4z441.,42.00,42.00,20 7.,1T2z233.,9.2252.
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,combined,4,MIROSLAW,Aleksandra,POL,10+20.,7.3211.,0T0z0019.,390.00,64.00,10 8.,0T0z008.,7.7501.
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,combined,5,NONAKA,Miho,JPN,29+14.,8.9945.,3T4z576.,420.00,80.00,23+5.,1T2z344.,12.3564.
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,combined,6,MORI,Ai,JPN,Top1.,12.58518.,1T2z1816.,288.00,80.00,Top2.,1T2z375.,12.8608.
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,combined,7,ITO,Futaba,JPN,29+15.,8.9174.,4T4z12125.,300.00,120.00,27 4.,0T2z026.,8.6555.
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,combined,8,KLINGLER,Petra,SUI,31+12.,9.2018.,4T4z663.,288.00,126.00,23+6.,0T2z037.,8.9013.
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,combined,9,RABOUTOU,Brooke,USA,35+7.,9.1296.,2T2z3310.,420.00,,,,
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,combined,10,PILZ,Jessica,AUT,36+6.,9.56411.,3T4z6107.,462.00,,,,
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,combined,11,JAUBERT,Anouck,FRA,18+18.,7.5142.,1T2z2517.,612.00,,,,
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,combined,12,CHANOURDIE,Julia,FRA,32 11.,9.2639.,3T3z868.,792.00,,,,
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,combined,13,SEO,Chaehyun,KOR,36+5.,10.77016.,2T2z9913.,1040.00,,,,
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,combined,14,KRAMPL,Mia,SLO,36+4.,12.79719.,1T2z1514.,1064.00,,,,
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,combined,15,NIU,Di,CHN,10+19.,8.1373.,0T0z0019.,1111.50,,,,
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,combined,16,LUKAN,Vita,SLO,34+9.,13.22820.,2T4z499.,1620.00,,,,
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,combined,17,RAKOVEC,Lucka,SLO,32+10.,10.47715.,2T2z5512.,1800.00,,,,
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,combined,18,YIP,Alannah,CAN,21+16.,9.96312.,2T2z5311.,2112.00,,,,
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,combined,19,KURA,Nanako,JPN,21+17.,10.11813.,1T2z1715.,3315.00,,,,
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,combined,20,KAZBEKOVA,Ievgeniia,UKR,31 13.,10.82217.,1T1z1118.,3978.00,,,,
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,combined,1,NARASAKI,Tomoa,JPN,31+7.,6.3524.,3T4z1164.,112.00,4.00,30 2.,3T3z431.,fall2.
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,combined,2,SCHUBERT,Jakob,AUT,36 2.,7.38515.,3T4z482.,60.00,35.00,Top1.,0T3z065.,7.2087.
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,combined,3,KHAIBULLIN,Rishat,KAZ,27+16.,5.8631.,1T1z4317.,272.00,40.00,22 5.,0T1z028.,5.9151.
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,combined,4,HARADA,Kai,JPN,30 13.,6.6346.,3T4z493.,234.00,54.00,30 3.,0T2z066.,6.3483.
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,combined,5,NARASAKI,Meichi,JPN,31 10.,6.7768.,3T4z1185.,400.00,60.00,21 6.,1T3z142.,6.6895.
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,combined,6,FUJII,Kokoro,JPN,32+5.,6.5315.,2T4z3167.,175.00,72.00,29+4.,1T3z263.,9.4386.
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,combined,7,MAWEM,Mickael,FRA,23+18.,6.2503.,2T3z248.,432.00,112.00,20 7.,1T2z344.,6.7164.
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,combined,8,MEGOS,Alexander,GER,37+1.,8.29517.,4T4z11111.,17.00,448.00,08.,0T1z017.,7.5708.
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,combined,9,FOSSALI,Ludovico,ITA,9 20.,5.8892.,0T0z0020.,800.00,,,,
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,combined,10,MCCOLL,Sean,CAN,34 3.,8.35418.,1T2z2315.,810.00,,,,
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,combined,11,FLOHÉ,Yannick,GER,32+4.,7.39616.,1T3z51014.,896.00,,,,
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,combined,12,COLEMAN,Nathaniel,USA,31+8.,7.02410.,1T3z2812.,960.00,,,,
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,combined,13,RUANA,Rudolph,USA,32+6.,7.28712.,0T3z01718.,1296.00,,,,
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,combined,14,PICCOLRUAZ,Michael,ITA,29+15.,6.6557.,1T3z4713.,1365.00,,,,
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,combined,15,DOHI,Keita,JPN,30+12.,7.12411.,1T4z6811.,1452.00,,,,
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,combined,16,KRUDER,Jernej,SLO,29+14.,7.29513.,2T3z759.,1638.00,,,,
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,combined,17,HOJER,Jan,GER,30+11.,8.35719.,2T3z12610.,2090.00,,,,
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,combined,18,ONDRA,Adam,CZE,10 19.,9.00020.,3T3z1266.,2280.00,,,,
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,combined,19,GHISOLFI,Stefano,ITA,31+9.,7.34714.,0T2z0419.,2394.00,,,,
IFSC Climbing World Championships Combined - Hachioji (JPN) 2019,18  - 21 August 2019,combined,20,CHON,Jongwon,KOR,25+17.,6.8849.,1T2z2416.,2448.00,,,,
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,combined,1,CONDIE,Kyra,USA,3.,4.,4.,48.00,6.00,Top2.,3T4z6101.,3.
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,combined,2,AGUADO,Valentina,ARG,2.,5.,1.,10.00,8.00,Top1.,2T3z232.,4.
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,combined,3,ROJAS,Andrea,ECU,4.,1.,8.,32.00,16.00,57 4.,1T3z2124.,1.
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,combined,4,MELLADO QUINTEROS,Ignacia,CHI,1.,12.,3.,36.00,54.00,Top3.,2T3z13103.,6.
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,combined,5,ROMERO,Leslie,VEN,7.,2.,6.,84.00,60.00,48+6.,1T2z145.,2.
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,combined,6,CONTRERAS,Alejandra,CHI,5.,3.,2.,30.00,150.00,53+5.,1T2z336.,5.
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,combined,7,GONZALEZ,Emily,ECU,6.,6.,9.,324.00,,,,
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,combined,8,SILVA,Muykuay,CHI,8.,9.,5.,360.00,,,,
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,combined,9,SHIRAIWA,Thais Makino,BRA,10.,7.,10.,700.00,,,,
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,combined,10,BECERRA,Rocio Ailen,ARG,9.,8.,12.,864.00,,,,
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,combined,11,SANDOVAL SEPÚLVEDA,Gabriela Andrea,CHI,12.,11.,7.,924.00,,,,
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,combined,12,MESA BARRIENTOS,Josefina,CHI,11.,13.,11.,1573.00,,,,
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,combined,13,VENET GALLEGOS,Noelia,PER,13.,10.,13.,1690.00,,,,
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,combined,1,VALENCIA,Danny,ECU,2.,3.,13.,78.00,6.00,Top1.,4T4z1062.,3.
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,combined,2,LIGHTNER,Kai,USA,1.,7.,2.,14.00,8.00,Top2.,4T4z441.,4.
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,combined,3,BROSLER,John,USA,15.,1.,7.,112.50,36.00,37 6.,0T3z066.,1.
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,combined,4,GRANJA,Carlos,ECU,8.,2.,3.,48.00,50.00,48+5.,3T4z13115.,2.
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,combined,5,GROSSO,Cesar,BRA,4.,8.,5.,160.00,60.00,48+4.,4T4z1183.,5.
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,combined,6,RUANA,Rudolph,USA,3.,13.,1.,39.00,72.00,Top3.,3T4z594.,6.
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,combined,7,ESCOBAR,Ronny,CHI,7.,14.,4.,392.00,,,,
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,combined,8,ALJARO,Jose Maria,CHI,6.,21.,6.,756.00,,,,
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,combined,9,RIVADENEIRA,Nickolaie,ECU,14.,4.,19.,1064.00,,,,
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,combined,10,HERNANDEZ,Galo,ECU,11.,9.,11.,1089.00,,,,
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,combined,11,PEREZ,Gustavo Jose,VEN,9.,10.,14.,1260.00,,,,
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,combined,12,HO FOGANHOLO,Felipe,BRA,5.,23.,12.,1380.00,,,,
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,combined,13,AYALA,Benjamin,CHI,13.,16.,7.,1560.00,,,,
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,combined,14,NICOLOSO,Pedro Ferreira,BRA,10.,20.,10.,2000.00,,,,
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,combined,15,ESTEVEZ,Isaac,ECU,23.,6.,15.,2070.00,,,,
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,combined,16,OURIQUES,Jean,BRA,16.,19.,9.,2736.00,,,,
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,combined,17,PEÑA,Juan Martin,ECU,24.,5.,23.,2820.00,,,,
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,combined,18,RIOS,Emilio,CHI,12.,17.,20.,4080.00,,,,
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,combined,19,NEVAREZ,Sergio,ECU,17.,12.,23.,4794.00,,,,
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,combined,20,VARGAS,Valentin,VEN,20.,15.,16.,4800.00,,,,
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,combined,21,GUEVARA,Tomas,VEN,18.,11.,28.,5544.00,,,,
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,combined,22,STERNIK,Valentin,ARG,22.,18.,17.,6732.00,,,,
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,combined,23,VARGAS,Benjamin,CHI,19.,26.,22.,10868.00,,,,
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,combined,24,MORALES,Fernando,GUA,26.,25.,18.,11700.00,,,,
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,combined,25,HUAYANAY,Jimmy Edison,PER,28.,22.,21.,12936.00,,,,
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,combined,26,CHÁVEZ,Luis,GUA,21.,24.,27.,13608.00,,,,
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,combined,27,LANUZA,Cristian,GUA,25.,28.,26.,18200.00,,,,
"IFSC PanAmerican Championship (L, S, B, C) - Guayaquil (ECU) 2018",21  - 26 November 2018,combined,28,MEJIA,Hector,GUA,27.,27.,25.,18225.00,,,,
IFSC Climbing World Championships Combined - Innsbruck (AUT) 2018,16 September 2018,combined,1,GARNBRET,Janja,SLO,9 2.,10.6245.,1T1z111.,10.00,5.00,Top1.,4T4z771.,11.2815.
IFSC Climbing World Championships Combined - Innsbruck (AUT) 2018,16 September 2018,combined,2,SA,Sol,KOR,5 6.,9.8062.,1T1z776.,72.00,12.00,23+6.,2T4z9182.,9.2731.
IFSC Climbing World Championships Combined - Innsbruck (AUT) 2018,16 September 2018,combined,3,PILZ,Jessica,AUT,10 1.,11.9986.,1T1z443.,18.00,24.00,Top2.,1T2z276.,10.3522.
IFSC Climbing World Championships Combined - Innsbruck (AUT) 2018,16 September 2018,combined,4,NOGUCHI,Akiyo,JPN,8 3.,10.5484.,1T1z222.,24.00,54.00,31+3.,2T2z663.,fall6.
IFSC Climbing World Championships Combined - Innsbruck (AUT) 2018,16 September 2018,combined,5,NONAKA,Miho,JPN,6 5.,9.0611.,1T1z554.,20.00,64.00,26+4.,2T2z1084.,fall4.
IFSC Climbing World Championships Combined - Innsbruck (AUT) 2018,16 September 2018,combined,6,KLINGLER,Petra,SUI,7 4.,10.0103.,1T1z665.,60.00,75.00,26+5.,2T2z12125.,Wildcard3.
IFSC Climbing World Championships Combined - Innsbruck (AUT) 2018,16 September 2018,combined,1,SCHUBERT,Jakob,AUT,49 1.,83.,7.,581.00,4.00,37+2.,4T4z841.,2.
IFSC Climbing World Championships Combined - Innsbruck (AUT) 2018,16 September 2018,combined,2,ONDRA,Adam,CZE,48+2.,54.,12.,1296.00,10.00,42+1.,4T4z1162.,5.
IFSC Climbing World Championships Combined - Innsbruck (AUT) 2018,16 September 2018,combined,3,HOJER,Jan,GER,21 20.,13.,6.,1560.00,24.00,26+6.,3T4z864.,1.
IFSC Climbing World Championships Combined - Innsbruck (AUT) 2018,16 September 2018,combined,4,HARADA,Kai,JPN,40 9.,23.,1.,207.00,60.00,34+3.,3T3z745.,4.
IFSC Climbing World Championships Combined - Innsbruck (AUT) 2018,16 September 2018,combined,5,NARASAKI,Tomoa,JPN,37 11.,6.,4.,264.00,72.00,34 4.,3T4z653.,6.
IFSC Climbing World Championships Combined - Innsbruck (AUT) 2018,16 September 2018,combined,6,FUJII,Kokoro,JPN,23 19.,16.,3.,912.00,90.00,30+5.,2T4z256.,3.
